ID,Price,Manufacturer,Model,Prod__year,Category,Leather_interior,Fuel_type,Engine_volume,Mileage,Cylinders,Gear_box_type
24701923,130,BMW,X5,2006,Jeep,True,Petrol,4.4,90000.0,8.0,Tiptronic
24940334,25089,LINCOLN,Navigator,1999,Limousine,True,Petrol,5.4,99000.0,8.0,Automatic
26248496,150,MERCEDES-BENZ,Sprinter,2012,Microbus,True,Diesel,3.2,200000.0,6.0,Manual
26556126,157,ROLLS-ROYCE,Phantom,1939,Cabriolet,True,Petrol,5.0,129000.0,8.0,Automatic
28135943,3136,AUDI,A6,1998,Sedan,True,Petrol,2.8,299689.0,6.0,Tiptronic
30601481,150,MERCEDES-BENZ,S 55 5.5,2010,Sedan,True,Petrol,5.5,15000.0,8.0,Tiptronic
32180895,150,LINCOLN,Town Car,2000,Limousine,True,Petrol,4.6,100000.0,8.0,Automatic
37343036,90,TOYOTA,Grand HIACE,2002,Minivan,False,Petrol,3.4,85000.0,6.0,Automatic
37526422,35124,MERCEDES-BENZ,S 550,2007,Sedan,True,Petrol,5.5,225000.0,8.0,Tiptronic
38263032,22577,VOLKSWAGEN,Crafter,2007,Goods wagon,False,Diesel,2.5,228000.0,4.0,Manual
39670229,149,MERCEDES-BENZ,S 550,2009,Sedan,True,Petrol,5.5,90000.0,8.0,Tiptronic
39804002,14000,DODGE,Challenger,2010,Coupe,False,Petrol,5.7,0.0,8.0,Manual
40475067,14500,PORSCHE,Cayenne S,2004,Jeep,True,Petrol,4.5,315430.0,8.0,Automatic
40750321,13000,VOLKSWAGEN,Touareg,2004,Jeep,True,Petrol,4.2,250000.0,8.0,Automatic
41218089,600,TOYOTA,Land Cruiser,2016,Jeep,True,Petrol,4.5,43000.0,8.0,Automatic
41244276,19444,BMW,545,2005,Sedan,True,Petrol,4.4,220000.0,8.0,Tiptronic
41704944,19130,MERCEDES-BENZ,CLS 550,2010,Sedan,True,Petrol,5.5,157000.0,4.0,Automatic
41710029,150,MERCEDES-BENZ,Sprinter VIP CLASS,2014,Microbus,True,Diesel,2.7,150000.0,5.0,Manual
41751996,42334,AUDI,A6 QUATTRO,2011,Sedan,True,Petrol,2.8,79000.0,6.0,Tiptronic
41957882,83107,BMW,X6 M,2014,Jeep,True,Petrol,4.4,95000.0,8.0,Tiptronic
41962293,37633,BMW,M6,2007,Coupe,True,Petrol,5.0,187500.0,10.0,Tiptronic
41973503,8467,MERCEDES-BENZ,Vaneo,2004,Universal,False,Diesel,1.7,0.0,4.0,Manual
42022121,408,LEXUS,LX 570,2010,Jeep,True,Petrol,5.7,174000.0,8.0,Tiptronic
42062222,399,MERCEDES-BENZ,G 55 AMG,2005,Jeep,True,Petrol,5.5,111111.0,8.0,Tiptronic
42180369,150,MERCEDES-BENZ,E 350,2013,Sedan,True,Diesel,3.5,160000.0,6.0,Automatic
42204519,37354,PORSCHE,911 meqanika,1998,Coupe,True,Petrol,3.4,105498.0,6.0,Manual
42249585,87811,MERCEDES-BENZ,G 55 AMG,2003,Jeep,True,Petrol,5.5,137500.0,8.0,Automatic
42285726,75266,MERCEDES-BENZ,ML 550 4.7,2012,Jeep,True,Petrol,4.7,167000.0,8.0,Tiptronic
42287915,21953,FORD,Transit,1999,Microbus,False,Diesel,2.5,430000.0,4.0,Manual
42320481,9408,MITSUBISHI,Pajero Mini,2010,Jeep,False,Petrol,0.7,77000.0,4.0,Automatic
42495069,47042,NISSAN,Quest 2016,2016,Minivan,False,Petrol,3.5,38400.0,6.0,Automatic
42571375,100355,PORSCHE,Panamera GTS,2013,Sedan,True,Petrol,4.8,98600.0,8.0,Tiptronic
42624907,300,MERCEDES-BENZ,S 550 LONG,2008,Sedan,True,Petrol,5.5,122000.0,8.0,Tiptronic
42805584,30734,BMW,X5,2008,Jeep,True,Petrol,4.8,230000.0,12.0,Tiptronic
42806664,78403,LAND ROVER,Defender 90 Cabrio,2011,Jeep,False,Diesel,2.4,60000.0,4.0,Manual
42870581,17876,RENAULT,Megane,2011,Universal,False,Diesel,1.5,300000.0,4.0,Manual
42873373,87811,BMW,750,2013,Sedan,True,Petrol,4.4,92000.0,8.0,Tiptronic
42879924,13000,JAGUAR,XF,2008,Sedan,True,Petrol,4.2,1000.0,6.0,Tiptronic
42905204,100,BMW,X5,2005,Jeep,True,LPG,4.4,10000.0,8.0,Tiptronic
42993777,15681,CHEVROLET,Impala,1973,Limousine,True,Petrol,5.7,100000.0,8.0,Automatic
43037322,12074,RENAULT,Megane,2006,Universal,False,Diesel,1.5,250000.0,4.0,Manual
43042015,14113,OPEL,Astra H,2009,Goods wagon,False,Diesel,1.9,160000.0,6.0,Tiptronic
43077049,3763,MITSUBISHI,Pajero,2002,Jeep,False,Diesel,3.2,0.0,4.0,Tiptronic
43225846,25500,MERCEDES-BENZ,Sprinter,2011,Microbus,False,Diesel,2.5,1000.0,4.0,Manual
43260559,10349,DAIHATSU,Terios,2008,Jeep,False,Petrol,0.7,67000.0,4.0,Manual
43264187,21953,BMW,550,2012,Sedan,True,Petrol,4.4,0.0,8.0,Tiptronic
43325843,350,BMW,535 M,2012,Sedan,True,Petrol,3.5,140000.0,6.0,Tiptronic
43424507,84675,MERCEDES-BENZ,ML 250,2015,Jeep,True,Diesel,2.1,110000.0,4.0,Tiptronic
43432352,54000,ASTON MARTIN,Virage,2007,Coupe,True,Petrol,4.3,72000.0,8.0,Tiptronic
43453542,30420,BMW,X5 Japan,2008,Jeep,True,Petrol,4.8,133000.0,8.0,Tiptronic
43485813,28225,VOLVO,S60,2014,Sedan,True,Petrol,2.5,90500.0,5.0,Automatic
43496113,45473,MERCEDES-BENZ,Sprinter,2008,Microbus,True,Diesel,2.3,12000.0,4.0,Manual
43580437,22840,VOLKSWAGEN,Crafter,2007,Microbus,False,Diesel,2.5,200000.0,5.0,Manual
43650080,36065,MITSUBISHI,Pajero,2010,Jeep,True,Petrol,3.8,70000.0,6.0,Automatic
43652825,15681,MERCEDES-BENZ,G 300,1988,Jeep,False,Diesel,2.9,138000.0,4.0,Manual
43683199,216391,MERCEDES-BENZ,G 65 AMG G63 AMG,2013,Jeep,True,Petrol,5.5,54000.0,8.0,Tiptronic
43720197,150533,JAGUAR,F-type R,2015,Sedan,True,Petrol,5.0,31000.0,8.0,Tiptronic
43767061,35850,MERCEDES-BENZ,Sprinter,2006,Microbus,True,Diesel,2.7,37440.0,5.0,Tiptronic
43789985,345,TOYOTA,Land Cruiser Prado,2017,Jeep,True,Diesel,2.7,45000.0,6.0,Tiptronic
43803735,8154,FORD,Transit Connect,2006,Goods wagon,False,Diesel,1.7,98439.0,4.0,Manual
43860356,29552,RENAULT,Captur QM3 Samsung,2015,Jeep,False,Diesel,1.5,56000.0,4.0,Tiptronic
43886580,5500,OPEL,Astra,2007,Goods wagon,False,Diesel,1.9,1000.0,4.0,Manual
43920394,19444,LAND ROVER,Land Rover Sport,2006,Jeep,True,Petrol,4.4,195000.0,6.0,Tiptronic
43944071,81539,BMW,X5,2014,Jeep,True,Diesel,3.5,104000.0,6.0,Automatic
43957271,40769,MERCEDES-BENZ,S 550,2007,Sedan,True,LPG,5.5,167000.0,8.0,Tiptronic
44036373,106627,CHEVROLET,Camaro,2017,Coupe,False,Petrol,6.2,11200.0,8.0,Manual
44044580,25089,BMW,650,2007,Coupe,True,Petrol,4.8,150000.0,8.0,Tiptronic
44070835,13172,SUZUKI,Grand Vitara,2005,Jeep,False,Petrol,2.7,170000.0,6.0,Manual
44077675,9095,FIAT,500,2007,Coupe,True,Diesel,1.3,150000.0,4.0,Manual
44096646,28225,MERCEDES-BENZ,GL 550,2008,Jeep,True,Petrol,5.5,134000.0,8.0,Tiptronic
44120119,2509,AUDI,Allroad,2004,Universal,True,Petrol,2.7,0.0,6.0,Tiptronic
44123741,43905,LEXUS,IS-F,2008,Sedan,True,Petrol,5.0,101000.0,8.0,Tiptronic
44127453,1500,TOYOTA,Hilux,2010,Pickup,True,Diesel,2.5,33200.0,4.0,Manual
44131728,19444,MERCEDES-BENZ,Sprinter 316,2005,Microbus,False,Diesel,2.7,25600.0,4.0,Tiptronic
44132148,13000,AUDI,S6,2007,Sedan,True,Petrol,5.2,108000.0,6.0,Tiptronic
44143440,5331,MERCEDES-BENZ,C 280,1997,Sedan,True,Petrol,2.8,100000.0,6.0,Automatic
44149949,23991,FORD,Fusion SE,2018,Sedan,False,Petrol,1.5,10457.0,4.0,Automatic
44164759,15681,CHEVROLET,Malibu LT,2016,Sedan,False,Petrol,1.5,71671.0,4.0,Automatic
44166194,27000,MERCEDES-BENZ,Sprinter,2003,Microbus,False,Diesel,2.7,230000.0,5.0,Manual
44166470,66902,MERCEDES-BENZ,E 350,2013,Sedan,True,Diesel,3.5,181000.0,8.0,Tiptronic
44181419,18503,TOYOTA,Aqua,2013,Hatchback,True,Hybrid,1.5,55000.0,4.0,Automatic
44217692,52687,JEEP,Wrangler,2010,Jeep,False,Petrol,3.8,103000.0,6.0,Manual
44235227,31361,BMW,X5 4.8is,2005,Jeep,True,Petrol,4.8,147200.0,8.0,Tiptronic
